7;0
14;0
21;0
28;0
35;0
42;0
49;0
56;0
63;2
70;15
77;79
84;294
91;529
98;626
105;1140
112;1212
119;832
126;1181
133;831
140;665
147;374
154;371
161;541
168;1147
175;2038
182;1945
189;1720
196;1473
203;2630
210;5406
217;6956
224;9010
231;9795
238;9244
245;10104
252;14275
259;15381
266;15425
273;15987
280;18613
287;21070
294;23550
301;24623
308;33101
315;36026
322;32751
329;28726
336;27050
343;20859
350;17629
357;15336
364;11579
371;9496
378;7228
385;6904
392;4922
399;4275
406;3169
413;2813
420;2462
427;2564
434;2658
441;2831
448;2895
455;3474
462;3856
469;3759
476;3590
483;2525
490;2066
497;1189
504;1995
511;2056
518;2327
525;2425
532;2743
539;2861
546;4721
553;7460
560;14083
567;19674
574;48366
581;63764
588;64784
595;54212
602;43244
609;31510
616;21652
623;15432
630;10445
637;6257
644;3973
651;3062
658;2213
665;1884
672;1347
679;850
686;673
693;818
700;853
707;879
714;1248
