7;0
14;0
21;0
28;1
35;20
42;11
49;3
56;33
63;311
70;1901
77;5455
84;16046
91;28818
98;32630
105;30969
112;33506
119;31851
126;24027
133;20019
140;16906
147;11713
154;8884
161;7052
168;6892
175;5270
182;4275
189;4283
196;4340
203;4969
210;5524
217;6418
224;7797
231;7728
238;8854
245;15523
252;22634
259;25850
266;44393
273;74110
280;110514
287;120078
294;151561
301;153892
308;162260
315;175280
322;141113
329;106260
336;105190
343;138488
350;217712
357;243069
364;377718
371;422675
378;317881
385;246142
392;171875
399;130901
406;94014
413;80167
420;61484
427;41508
434;40316
441;38162
448;37987
455;27123
462;20330
469;17336
476;16722
483;15041
490;14468
497;15509
504;16918
511;22380
518;33779
525;49979
532;67059
539;107478
546;175476
553;225580
560;323274
567;257101
574;188020
581;193901
588;203157
595;232682
602;244811
609;258216
616;246171
623;203289
630;242060
637;235286
644;254728
651;305103
658;329421
665;285143
672;251477
679;266098
686;295358
693;301042
700;335799
707;364101
714;606364
