7;0
14;0
21;0
28;0
35;1
42;0
49;0
56;0
63;315
70;1046
77;3111
84;7558
91;9634
98;11209
105;8351
112;6275
119;3262
126;3119
133;2201
140;1540
147;1232
154;835
161;722
168;669
175;612
182;614
189;687
196;1296
203;2270
210;3715
217;4371
224;3882
231;3430
238;3127
245;3490
252;5717
259;9672
266;11145
273;17885
280;35324
287;67672
294;101847
301;106752
308;58229
315;34794
322;23781
329;16348
336;14990
343;15997
350;17504
357;12529
364;10587
371;13335
378;13362
385;14307
392;16127
399;15414
406;12643
413;14680
420;16796
427;16333
434;20001
441;28468
448;33670
455;30410
462;24742
469;24408
476;25035
483;21346
490;20880
497;15229
504;16785
511;12669
518;9742
525;5708
532;3192
539;2393
546;3624
553;6617
560;9384
567;10389
574;10985
581;12286
588;13436
595;13713
602;14154
609;13996
616;13755
623;14553
630;13625
637;13444
644;14524
651;21273
658;37375
665;53380
672;55358
679;70372
686;109038
693;125241
700;120571
707;93713
714;60686
