7;0
14;0
21;0
28;0
35;0
42;0
49;0
56;1
63;6
70;54
77;476
84;1372
91;2252
98;2766
105;2803
112;3128
119;5577
126;8784
133;14209
140;23965
147;29465
154;32887
161;39610
168;69393
175;31018
182;24081
189;20182
196;16817
203;14746
210;14066
217;13365
224;12879
231;11806
238;12301
245;12425
252;12232
259;12008
266;11305
273;12492
280;11124
287;10408
294;10539
301;9714
308;9721
315;9699
322;9467
329;9798
336;9727
343;11113
350;13573
357;15040
364;17508
371;21840
378;27751
385;29154
392;28253
399;25182
406;24313
413;23450
420;25573
427;29065
434;34896
441;39710
448;44824
455;49565
462;49044
469;48826
476;45463
483;41944
490;37221
497;38276
504;43161
511;46343
518;50510
525;48726
532;42283
539;31367
546;23819
553;18699
560;13321
567;9268
574;8022
581;6738
588;5784
595;4860
602;4081
609;3432
616;2964
623;3364
630;3991
637;4899
644;5486
651;7866
658;10781
665;12860
672;13745
679;17106
686;16768
693;16581
700;13543
707;10607
714;9297
