Calculated_coefficients
33107.04195260587
-4518.474079833125
-14068.109657708748
-8026.55854896033
-11735.767312889864
-6238.150637830928
1871.1160935688206
35525.22967459931
6752.298414606959
-378.3997465050607
-8903.978368377868
4797.248846228788
-12377.678818789667
-224.58087365573897
-9319.714322173033
13322.764827947076
-1766.8863226551612
-7122.958470098273
-10428.988880055289
