Calculated_coefficients
49213.71407330995
-38490.19820512906
-31439.260490390832
-23715.56735983119
2361.7279065109287
14480.411131373938
20070.533596201105
22801.48699617586
-9253.815112658265
-18621.750525540887
-12460.287437436278
-421.1741555695454
2887.9565658218244
-522.3056528869589
3317.605001482014
6857.419712309074
4298.555310889563
-2718.9628923707346
-12982.904829934876
