Day;New_cases;a0;a1;b1;a2;b2;a3;b3;a4;b4;a5;b5;a6;b6;a7;b7;a8;b8;a9;b9;a10;b10;a11;b11;a12;b12;a13;b13;a14;b14;a15;b15;a16;b16;a17;b17;a18;b18;a19;b19;a20;b20
7;0;1.0;0.9981855344718586;0.060213277365792996;0.9927487224577402;0.1202080448993527;0.9837092937736098;0.1797665857255621;0.9711000518829505;0.2386727660059501;0.9549667548552552;0.29671281927349025;0.9353679493131483;0.35367612217637157;0.9123747579707273;0.4093559588156214;0.886070621534138;0.4635502709028509;0.8565509959010036;0.5160623910158527;0.8239230057575542;0.5667017562911176;0.7883050558305255;0.6152845999633277;0.7498264012045687;0.6616346182422783;0.7086266782644597;0.7055836101071777;0.6648553979642865;0.7469720876965552;0.6186714032625035;0.7856498550787143;0.5702422926917871;0.8214765533024142;0.5197438121555157;0.8543221697498269;0.4673592171580022;0.8840675099433636;0.4132786077829043;0.9106046300942162;0.35769823883312546;0.9338372288229252
14;0;1.0;0.9927487224577402;0.1202080448993527;0.9711000518829505;0.2386727660059501;0.9353679493131483;0.35367612217637157;0.886070621534138;0.4635502709028509;0.8239230057575542;0.5667017562911176;0.7498264012045687;0.6616346182422783;0.6648553979642865;0.7469720876965552;0.5702422926917871;0.8214765533024142;0.4673592171580022;0.8840675099433636;0.35769823883312546;0.9338372288229252;0.2428497220959356;0.9700639218515071;0.12447926388678937;0.9922222094179323;0.004303538296244289;0.9999907397361901;-0.11593459959550041;0.9932568492674143;-0.23449138957040963;0.9721181966290613;-0.3496474552512284;0.9368813462954315;-0.45973273945210397;0.8880573226294932;-0.5631507242749186;0.8263541987239096;-0.6584015846980488;0.7526668275320085;-0.7441039398713607;0.6680638642135335
21;0;1.0;0.9837092937736098;0.17976658572556212;0.9353679493131483;0.3536761221763716;0.8565509959010036;0.5160623910158527;0.7498264012045686;0.6616346182422783;0.6186714032625034;0.7856498550787144;0.4673592171580022;0.8840675099433636;0.30081980763566746;0.9536809966304456;0.12447926388678915;0.9922222094179323;-0.055916990100603144;0.9984354211555643;-0.23449138957040985;0.9721181966290613;-0.40542572835999724;0.9141279881853338;-0.5631507242749186;0.8263541987239096;-0.702527474169157;0.7116566222817746;-0.8190148866680801;0.5737722679043246;-0.9088176373395029;0.41719360261231686;-0.9690098257244062;0.24702218048093552;-0.9976303053065857;0.06880242680231963;-0.9937465804361781;-0.11165900712169444;-0.9574851883550392;-0.28848243288060904;-0.8900275764346766;-0.455906693508459
28;0;1.0;0.9711000518829505;0.2386727660059501;0.886070621534138;0.4635502709028509;0.7498264012045687;0.6616346182422783;0.5702422926917871;0.8214765533024142;0.35769823883312546;0.9338372288229252;0.12447926388678937;0.9922222094179323;-0.11593459959550041;0.9932568492674143;-0.3496474552512284;0.9368813462954315;-0.5631507242749186;0.8263541987239096;-0.7441039398713607;0.6680638642135335;-0.8820480249558537;0.4711595076738638;-0.9690098257244061;0.24702218048093594;-0.9999629591162655;0.008606996888688698;-0.973118337233262;-0.23030567023061196;-0.8900275764346768;-0.4559066935084586;-0.7554933140726804;-0.655156357209085;-0.5772916165517278;-0.8165380514459157;-0.3657225234972692;-0.9307239310379793;-0.13301470653419636;-0.9911140639934546;0.10738134666416306;-0.994217906893952
35;0;1.0;0.9549667548552552;0.29671281927349025;0.8239230057575542;0.5667017562911176;0.6186714032625034;0.7856498550787144;0.35769823883312546;0.9338372288229252;0.06450844944931636;0.9979171608653922;-0.23449138957040985;0.9721181966290613;-0.5123714121284236;0.858763958275803;-0.7441039398713607;0.6680638642135335;-0.9088176373395029;0.41719360261231686;-0.99167731989929;0.12874817745258088;-0.9852201067560606;-0.17129314418147745;-0.8900275764346766;-0.455906693508459;-0.7146733860429608;-0.6994583270516472;-0.4749510720670502;-0.8800122039735356;-0.19245158197083032;-0.9813064702716092;0.10738134666416306;-0.994217906893952;0.3975428142825562;-0.9175836260593936;0.6518989958787125;-0.7583058084785625;0.8475409228928313;-0.530730048161933;0.9668478136052775;-0.2553532951161872
42;0;1.0;0.9353679493131483;0.3536761221763716;0.7498264012045686;0.6616346182422783;0.4673592171580022;0.8840675099433636;0.12447926388678915;0.9922222094179323;-0.23449138957040985;0.9721181966290613;-0.5631507242749186;0.8263541987239096;-0.8190148866680801;0.5737722679043246;-0.9690098257244062;0.24702218048093552;-0.9937465804361781;-0.11165900712169444;-0.8900275764346766;-0.455906693508459;-0.6712599575675315;-0.7412220108485957;-0.3657225234972692;-0.9307239310379793;-0.012910296075008843;-0.9999166586547379;0.341570769167856;-0.9398560579418953;0.6518989958787125;-0.7583058084785625;0.8779600847008883;-0.4787338401157883;0.9905324521322229;-0.1372787721132643;0.9750645322571948;0.2219215130041654;0.8335557718385698;0.5524353131676198;0.5842981736283681;0.8115390590073613
49;0;1.0;0.9123747579707273;0.4093559588156214;0.6648553979642865;0.7469720876965552;0.3008198076356677;0.9536809966304456;-0.11593459959550041;0.9932568492674143;-0.5123714121284236;0.858763958275803;-0.8190148866680798;0.5737722679043249;-0.9821256058680005;0.18822670984324466;-0.973118337233262;-0.23030567023061196;-0.7935716089521474;-0.6084768701151261;-0.4749510720670502;-0.8800122039735356;-0.07309512989807812;-0.9973249731081555;0.34157076916785517;-0.9398560579418956;0.6963762255968721;-0.7176769136759621;0.929141411403174;-0.369724542890674;0.99907411510223;0.04302223300452978;0.8939185965192572;0.4482293417404102;0.6321034111873489;0.7748840413670405;0.2595117970697999;0.9657399376548549;-0.15855938510313375;0.9873494423939866;-0.5488429582847194;0.8359254794186368
56;0;1.0;0.886070621534138;0.4635502709028509;0.5702422926917871;0.8214765533024142;0.12447926388678937;0.9922222094179323;-0.3496474552512284;0.9368813462954315;-0.7441039398713607;0.6680638642135335;-0.9690098257244061;0.24702218048093594;-0.973118337233262;-0.23030567023061196;-0.7554933140726804;-0.655156357209085;-0.3657225234972692;-0.9307239310379793;0.10738134666416306;-0.994217906893952;0.5560174366570446;-0.8311706263658079;0.8779600847008878;-0.47873384011578907;0.9998518392091162;-0.01721335615583528;0.8939185965192572;0.4482293417404102;0.5842981736283688;0.8115390590073608;0.14154029521704348;0.989932495087353;-0.33346877891818577;0.942761143390421;-0.7324940716135787;0.6807734094770164;-0.9646141756912432;0.26366549272800816;-0.9769384927771817;-0.2135209154397961
63;7;1.0;0.8565509959010036;0.5160623910158527;0.4673592171580022;0.8840675099433636;-0.055916990100603144;0.9984354211555643;-0.5631507242749186;0.8263541987239096;-0.9088176373395029;0.41719360261231686;-0.9937465804361781;-0.11165900712169444;-0.7935716089521474;-0.6084768701151261;-0.3657225234972692;-0.9307239310379793;0.16705162550211913;-0.9859481499638304;0.6518989958787125;-0.7583058084785625;0.9497178427914317;-0.3131070409358266;0.9750645322571948;0.2219215130041654;0.7206671495538612;0.6932812268869774;0.2595117970697999;0.9657399376548549;-0.27609697309746956;0.9611297838723005;-0.7324940716135787;0.6807734094770164;-0.978740079966915;0.20510449986862025;-0.9441875088341994;-0.32940848222452995;-0.6387494220515266;-0.7694148268839384;-0.15005539834465284;-0.9886775902323404
70;24;1.0;0.8239230057575542;0.5667017562911176;0.35769823883312546;0.9338372288229252;-0.23449138957040985;0.9721181966290613;-0.7441039398713607;0.6680638642135335;-0.99167731989929;0.12874817745258088;-0.8900275764346766;-0.455906693508459;-0.4749510720670502;-0.8800122039735356;0.10738134666416306;-0.994217906893952;0.6518989958787125;-0.7583058084785625;0.9668478136052775;-0.2553532951161872;0.9413173175128472;0.33752289959411297;0.5842981736283681;0.8115390590073613;0.021516097436221834;0.9997685019798909;-0.5488429582847194;0.8359254794186368;-0.9259247771938496;0.37770796520396555;-0.9769384927771817;-0.2135209154397961;-0.68391942162461;-0.729557554086488;-0.15005539834465284;-0.9886775902323404;0.4366512319560644;-0.8996308696522431;0.8695893893466108;-0.4937755501599776
77;100;1.0;0.7883050558305255;0.6152845999633277;0.2428497220959356;0.9700639218515071;-0.40542572835999724;0.9141279881853338;-0.8820480249558537;0.4711595076738638;-0.9852201067560606;-0.17129314418147745;-0.6712599575675315;-0.7412220108485957;-0.07309512989807723;-0.9973249731081556;0.5560174366570446;-0.8311706263658079;0.9497178427914317;-0.3131070409358266;0.9413173175128472;0.33752289959411297;0.5343725582809786;0.8452490573530633;-0.09882013873287163;0.9951053111006976;-0.6901733882429719;0.7236440382959124;-0.9893142039703664;0.14579919691987403;-0.8695893893466112;-0.4937755501599769;-0.3816892202666588;-0.9242907221930933;0.26781430516217514;-0.9634705485641486;0.8039279618328212;-0.5947266869607635;0.9996666485105112;0.02581844022713336;0.7721565844991647;0.635432300890177
84;277;1.0;0.7498264012045686;0.6616346182422783;0.12447926388678915;0.9922222094179323;-0.5631507242749186;0.8263541987239096;-0.9690098257244062;0.24702218048093552;-0.8900275764346766;-0.455906693508459;-0.3657225234972692;-0.9307239310379793;0.341570769167856;-0.9398560579418953;0.8779600847008883;-0.4787338401157883;0.9750645322571948;0.2219215130041654;0.5842981736283681;0.8115390590073613;-0.09882013873287163;0.9951053111006976;-0.7324940716135787;0.6807734094770164;-0.9996666485105112;0.02581844022713244;-0.7666588193001584;-0.6420547132365644;-0.15005539834465284;-0.9886775902323404;0.5416278206559817;-0.840618405634478;0.9623090774541488;-0.2719581575341046;0.9015016841318841;0.432775592550431;0.3896304495307876;0.9209712877166347;-0.3171912885891069;0.9483615800121713
