Day;New_cases;a0;a1;b1;a2;b2;a3;b3;a4;b4;a5;b5;a6;b6;a7;b7;a8;b8;a9;b9
7;0;1.0;0.9981855344718586;0.060213277365792996;0.9927487224577402;0.1202080448993527;0.9837092937736098;0.1797665857255621;0.9711000518829505;0.2386727660059501;0.9549667548552552;0.29671281927349025;0.9353679493131483;0.35367612217637157;0.9123747579707273;0.4093559588156214;0.886070621534138;0.4635502709028509;0.8565509959010036;0.5160623910158527
14;0;1.0;0.9927487224577402;0.1202080448993527;0.9711000518829505;0.2386727660059501;0.9353679493131483;0.35367612217637157;0.886070621534138;0.4635502709028509;0.8239230057575542;0.5667017562911176;0.7498264012045687;0.6616346182422783;0.6648553979642865;0.7469720876965552;0.5702422926917871;0.8214765533024142;0.4673592171580022;0.8840675099433636
21;3;1.0;0.9837092937736098;0.17976658572556212;0.9353679493131483;0.3536761221763716;0.8565509959010036;0.5160623910158527;0.7498264012045686;0.6616346182422783;0.6186714032625034;0.7856498550787144;0.4673592171580022;0.8840675099433636;0.30081980763566746;0.9536809966304456;0.12447926388678915;0.9922222094179323;-0.055916990100603144;0.9984354211555643
28;3;1.0;0.9711000518829505;0.2386727660059501;0.886070621534138;0.4635502709028509;0.7498264012045687;0.6616346182422783;0.5702422926917871;0.8214765533024142;0.35769823883312546;0.9338372288229252;0.12447926388678937;0.9922222094179323;-0.11593459959550041;0.9932568492674143;-0.3496474552512284;0.9368813462954315;-0.5631507242749186;0.8263541987239096
35;6;1.0;0.9549667548552552;0.29671281927349025;0.8239230057575542;0.5667017562911176;0.6186714032625034;0.7856498550787144;0.35769823883312546;0.9338372288229252;0.06450844944931636;0.9979171608653922;-0.23449138957040985;0.9721181966290613;-0.5123714121284236;0.858763958275803;-0.7441039398713607;0.6680638642135335;-0.9088176373395029;0.41719360261231686
42;0;1.0;0.9353679493131483;0.3536761221763716;0.7498264012045686;0.6616346182422783;0.4673592171580022;0.8840675099433636;0.12447926388678915;0.9922222094179323;-0.23449138957040985;0.9721181966290613;-0.5631507242749186;0.8263541987239096;-0.8190148866680801;0.5737722679043246;-0.9690098257244062;0.24702218048093552;-0.9937465804361781;-0.11165900712169444
49;4;1.0;0.9123747579707273;0.4093559588156214;0.6648553979642865;0.7469720876965552;0.3008198076356677;0.9536809966304456;-0.11593459959550041;0.9932568492674143;-0.5123714121284236;0.858763958275803;-0.8190148866680798;0.5737722679043249;-0.9821256058680005;0.18822670984324466;-0.973118337233262;-0.23030567023061196;-0.7935716089521474;-0.6084768701151261
56;0;1.0;0.886070621534138;0.4635502709028509;0.5702422926917871;0.8214765533024142;0.12447926388678937;0.9922222094179323;-0.3496474552512284;0.9368813462954315;-0.7441039398713607;0.6680638642135335;-0.9690098257244061;0.24702218048093594;-0.973118337233262;-0.23030567023061196;-0.7554933140726804;-0.655156357209085;-0.3657225234972692;-0.9307239310379793
63;0;1.0;0.8565509959010036;0.5160623910158527;0.4673592171580022;0.8840675099433636;-0.055916990100603144;0.9984354211555643;-0.5631507242749186;0.8263541987239096;-0.9088176373395029;0.41719360261231686;-0.9937465804361781;-0.11165900712169444;-0.7935716089521474;-0.6084768701151261;-0.3657225234972692;-0.9307239310379793;0.16705162550211913;-0.9859481499638304
70;0;1.0;0.8239230057575542;0.5667017562911176;0.35769823883312546;0.9338372288229252;-0.23449138957040985;0.9721181966290613;-0.7441039398713607;0.6680638642135335;-0.99167731989929;0.12874817745258088;-0.8900275764346766;-0.455906693508459;-0.4749510720670502;-0.8800122039735356;0.10738134666416306;-0.994217906893952;0.6518989958787125;-0.7583058084785625
