Day;Phase;New_cases;Theoretical cases;;a0;a1;b1;a2;b2;a3;b3;a4;b4;a5;b5;a6;b6;a7;b7;a8;b8;a9;b9
77;0.6627469433600386;669;-295.66747724681943;;1.0;0.7883050558305255;0.6152845999633277;0.2428497220959356;0.9700639218515072;-0.4054257283599972;0.9141279881853338;-0.8820480249558537;0.4711595076738638;-0.9852201067560606;-0.1712931441814774;-0.6712599575675315;-0.7412220108485957;-0.0730951298980772;-0.9973249731081556;0.5560174366570446;-0.8311706263658079;0.9497178427914316;-0.3131070409358266
84;0.7229966654836785;1214;619.1139667193258;;1.0;0.7498264012045686;0.6616346182422783;0.1244792638867891;0.9922222094179324;-0.5631507242749186;0.8263541987239096;-0.9690098257244062;0.2470221804809355;-0.8900275764346766;-0.455906693508459;-0.3657225234972692;-0.9307239310379792;0.341570769167856;-0.9398560579418952;0.8779600847008883;-0.4787338401157883;0.9750645322571948;0.2219215130041654
91;0.7832463876073182;2134;2149.224807834498;;1.0;0.7086266782644597;0.7055836101071777;0.0043035382962442;0.99999073973619;-0.7025274741691567;0.711656622281775;-0.9999629591162656;0.0086069968886886;-0.7146733860429612;-0.6994583270516469;-0.0129102960750097;-0.999916658654738;0.6963762255968721;-0.7176769136759621;0.9998518392091162;-0.0172133561558352;0.7206671495538618;0.6932812268869768
98;0.8434961097309581;3291;4246.217246308712;;1.0;0.6648553979642865;0.7469720876965552;-0.1159345995955004;0.9932568492674144;-0.8190148866680798;0.5737722679043249;-0.973118337233262;-0.2303056702306119;-0.4749510720670502;-0.8800122039735356;0.3415707691678551;-0.9398560579418956;0.929141411403174;-0.369724542890674;0.8939185965192572;0.4482293417404102;0.2595117970697999;0.9657399376548548
105;0.9037458318545981;5958;6794.65666112519;;1.0;0.6186714032625034;0.7856498550787144;-0.2344913895704098;0.9721181966290612;-0.9088176373395028;0.4171936026123168;-0.8900275764346766;-0.455906693508459;-0.1924515819708294;-0.9813064702716094;0.6518989958787125;-0.7583058084785625;0.99907411510223;0.0430222330045306;0.5842981736283681;0.8115390590073613;-0.2760969730974695;0.9611297838723004
112;0.9639955539782379;9264;9653.80739952433;;1.0;0.5702422926917871;0.8214765533024142;-0.3496474552512284;0.9368813462954316;-0.969009825724406;0.2470221804809359;-0.7554933140726804;-0.655156357209085;0.107381346664163;-0.994217906893952;0.8779600847008878;-0.478733840115789;0.8939185965192572;0.4482293417404102;0.1415402952170434;0.989932495087353;-0.7324940716135787;0.6807734094770164
119;1.0242452761018777;11571;12701.541329716258;;1.0;0.5197438121555157;0.8543221697498269;-0.4597327394521039;0.8880573226294932;-0.9976303053065856;0.0688024268023205;-0.5772916165517278;-0.8165380514459157;0.3975428142825554;-0.917583626059394;0.9905324521322226;-0.137278772113266;0.6321034111873496;0.7748840413670399;-0.3334687789181857;0.942761143390421;-0.978740079966915;0.2051044998686202
126;1.0844949982255176;15196;15866.335636999496;;1.0;0.4673592171580022;0.8840675099433636;-0.5631507242749186;0.8263541987239096;-0.993746580436178;-0.1116590071216944;-0.3657225234972692;-0.9307239310379792;0.6518989958787125;-0.7583058084785625;0.9750645322571948;0.2219215130041654;0.2595117970697999;0.9657399376548548;-0.7324940716135787;0.6807734094770164;-0.9441875088341994;-0.3294084822245299
133;1.1447447203491574;19538;19137.293774027225;;1.0;0.4132786077829043;0.9106046300942162;-0.6584015846980488;0.7526668275320085;-0.9574851883550394;-0.2884824328806086;-0.1330147065341963;-0.9911140639934546;0.8475409228928308;-0.5307300481619338;0.8335557718385702;0.5524353131676191;-0.1585593851031337;0.9873494423939866;-0.9646141756912432;0.2636654927280081;-0.638749422051528;-0.7694148268839371
140;1.2049944424727974;24187;22549.058015559232;;1.0;0.3576982388331254;0.9338372288229252;-0.7441039398713607;0.6680638642135335;-0.8900275764346766;-0.455906693508459;0.107381346664163;-0.994217906893952;0.9668478136052776;-0.2553532951161872;0.5842981736283681;0.8115390590073613;-0.5488429582847194;0.8359254794186368;-0.9769384927771816;-0.2135209154397961;-0.1500553983446528;-0.9886775902323404
147;1.2652441645964374;26973;26146.285384592426;;1.0;0.3008198076356674;0.9536809966304456;-0.8190148866680801;0.5737722679043246;-0.7935716089521472;-0.6084768701151264;0.341570769167856;-0.9398560579418952;0.99907411510223;0.0430222330045306;0.259511797069799;0.9657399376548552;-0.8429415373547836;0.5380051715382985;-0.7666588193001584;-0.6420547132365644;0.3816892202666597;-0.9242907221930928
154;1.3254938867200772;30556;29938.822124102353;;1.0;0.2428497220959356;0.9700639218515072;-0.8820480249558537;0.4711595076738638;-0.6712599575675315;-0.7412220108485957;0.5560174366570446;-0.8311706263658079;0.9413173175128472;0.3375228995941129;-0.0988201387328716;0.9951053111006976;-0.9893142039703664;0.145799196919874;-0.3816892202666588;-0.9242907221930932;0.8039279618328212;-0.5947266869607635
