Day;Phase;New_cases;Theoretical cases;;a0;a1;b1;a2;b2;a3;b3;a4;b4;a5;b5;a6;b6;a7;b7;a8;b8;a9;b9;a10;b10;a11;b11;a12;b12;a13;b13;a14;b14;a15;b15;a16;b16;a17;b17;a18;b18;a19;b19;a20;b20
77;0.6627469433600386;100;384.6871775955764;;1.0;0.7883050558305255;0.6152845999633277;0.2428497220959356;0.9700639218515072;-0.4054257283599972;0.9141279881853338;-0.8820480249558537;0.4711595076738638;-0.9852201067560606;-0.1712931441814774;-0.6712599575675315;-0.7412220108485957;-0.0730951298980772;-0.9973249731081556;0.5560174366570446;-0.8311706263658079;0.9497178427914316;-0.3131070409358266;0.9413173175128472;0.3375228995941129;0.5343725582809786;0.8452490573530633;-0.0988201387328716;0.9951053111006976;-0.6901733882429719;0.7236440382959124;-0.9893142039703664;0.145799196919874;-0.8695893893466112;-0.4937755501599769;-0.3816892202666588;-0.9242907221930932;0.2678143051621751;-0.9634705485641486;0.8039279618328212;-0.5947266869607635;0.9996666485105112;0.0258184402271333;0.7721565844991647;0.635432300890177
84;0.7229966654836785;277;566.4501013590695;;1.0;0.7498264012045686;0.6616346182422783;0.1244792638867891;0.9922222094179324;-0.5631507242749186;0.8263541987239096;-0.9690098257244062;0.2470221804809355;-0.8900275764346766;-0.455906693508459;-0.3657225234972692;-0.9307239310379792;0.341570769167856;-0.9398560579418952;0.8779600847008883;-0.4787338401157883;0.9750645322571948;0.2219215130041654;0.5842981736283681;0.8115390590073613;-0.0988201387328716;0.9951053111006976;-0.7324940716135787;0.6807734094770164;-0.9996666485105112;0.0258184402271324;-0.7666588193001584;-0.6420547132365644;-0.1500553983446528;-0.9886775902323404;0.5416278206559817;-0.840618405634478;0.9623090774541488;-0.2719581575341046;0.901501684131884;0.432775592550431;0.3896304495307876;0.9209712877166348;-0.3171912885891069;0.9483615800121712
91;0.7832463876073182;325;336.4638054380492;;1.0;0.7086266782644597;0.7055836101071777;0.0043035382962442;0.99999073973619;-0.7025274741691567;0.711656622281775;-0.9999629591162656;0.0086069968886886;-0.7146733860429612;-0.6994583270516469;-0.0129102960750097;-0.999916658654738;0.6963762255968721;-0.7176769136759621;0.9998518392091162;-0.0172133561558352;0.7206671495538618;0.6932812268869768;0.0215160974362227;0.9997685019798908;-0.6901733882429719;0.7236440382959124;-0.9996666485105112;0.0258184402271342;-0.7266075247685662;-0.6870527672236664;-0.0301203048469086;-0.9995462806873572;0.6839194216246094;-0.7295575540864887;0.9994074007397048;-0.0344216116227469;0.7324940716135794;0.6807734094770157;0.0387222808921765;0.9992500112396834;-0.6776147890466878;0.7354170229639866;-0.99907411510223;0.0430222330045315
98;0.8434961097309581;677;174.31702031056773;;1.0;0.6648553979642865;0.7469720876965552;-0.1159345995955004;0.9932568492674144;-0.8190148866680798;0.5737722679043249;-0.973118337233262;-0.2303056702306119;-0.4749510720670502;-0.8800122039735356;0.3415707691678551;-0.9398560579418956;0.929141411403174;-0.369724542890674;0.8939185965192572;0.4482293417404102;0.2595117970697999;0.9657399376548548;-0.5488429582847194;0.8359254794186368;-0.9893142039703662;0.1457991969198757;-0.7666588193001597;-0.642054713236563;-0.0301203048469086;-0.9995462806873572;0.7266075247685643;-0.6870527672236684;0.996298174934608;0.085964798737445;0.5981809144059171;0.801361088174676;-0.2008905551306345;0.9796136916454902;-0.865307254363206;0.5012418134457758;-0.9497178427914322;-0.3131070409358249;-0.3975428142825554;-0.917583626059394
105;0.9037458318545981;506;439.0191816686314;;1.0;0.6186714032625034;0.7856498550787144;-0.2344913895704098;0.9721181966290612;-0.9088176373395028;0.4171936026123168;-0.8900275764346766;-0.455906693508459;-0.1924515819708294;-0.9813064702716094;0.6518989958787125;-0.7583058084785625;0.99907411510223;0.0430222330045306;0.5842981736283681;0.8115390590073613;-0.2760969730974695;0.9611297838723004;-0.9259247771938502;0.3777079652039639;-0.8695893893466103;-0.4937755501599784;-0.1500553983446528;-0.9886775902323404;0.6839194216246106;-0.7295575540864875;0.9962981749346076;0.0859647987374468;0.5488429582847186;0.8359254794186373;-0.3171912885891069;0.9483615800121712;-0.9413173175128476;0.3375228995941121;-0.8475409228928303;-0.5307300481619346;-0.107381346664163;-0.994217906893952;0.7146733860429624;-0.6994583270516456
112;0.9639955539782379;584;836.435054166065;;1.0;0.5702422926917871;0.8214765533024142;-0.3496474552512284;0.9368813462954316;-0.969009825724406;0.2470221804809359;-0.7554933140726804;-0.655156357209085;0.107381346664163;-0.994217906893952;0.8779600847008878;-0.478733840115789;0.8939185965192572;0.4482293417404102;0.1415402952170434;0.989932495087353;-0.7324940716135787;0.6807734094770164;-0.9769384927771816;-0.2135209154397961;-0.3816892202666588;-0.9242907221930932;0.5416278206559803;-0.840618405634479;0.9994074007397048;-0.0344216116227469;0.5981809144059171;0.801361088174676;-0.3171912885891052;0.948361580012172;-0.9599326896597444;0.2802306751992168;-0.7775971469736283;-0.6287628145958327;0.0730951298980772;-0.9973249731081556;0.8609610158889934;-0.5086709438521061;0.9088176373395028;0.4171936026123169
119;1.0242452761018777;498;798.3298644036693;;1.0;0.5197438121555157;0.8543221697498269;-0.4597327394521039;0.8880573226294932;-0.9976303053065856;0.0688024268023205;-0.5772916165517278;-0.8165380514459157;0.3975428142825554;-0.917583626059394;0.9905324521322226;-0.137278772113266;0.6321034111873496;0.7748840413670399;-0.3334687789181857;0.942761143390421;-0.978740079966915;0.2051044998686202;-0.6839194216246113;-0.7295575540864868;0.2678143051621734;-0.963470548564149;0.962309077454148;-0.271958157534108;0.7324940716135805;0.6807734094770144;-0.2008905551306328;0.9796136916454904;-0.9413173175128464;0.3375228995941154;-0.7775971469736283;-0.6287628145958327;0.1330147065341919;-0.9911140639934553;0.9158642882672864;-0.4014879892059749;0.8190148866680821;0.5737722679043217;-0.0645084494493143;0.9979171608653924
126;1.0844949982255176;265;273.08755621162334;;1.0;0.4673592171580022;0.8840675099433636;-0.5631507242749186;0.8263541987239096;-0.993746580436178;-0.1116590071216944;-0.3657225234972692;-0.9307239310379792;0.6518989958787125;-0.7583058084785625;0.9750645322571948;0.2219215130041654;0.2595117970697999;0.9657399376548548;-0.7324940716135787;0.6807734094770164;-0.9441875088341994;-0.3294084822245299;-0.1500553983446528;-0.9886775902323404;0.8039279618328212;-0.5947266869607635;0.901501684131884;0.432775592550431;0.0387222808921747;0.9992500112396836;-0.865307254363206;0.5012418134457758;-0.8475409228928303;-0.5307300481619346;0.0730951298980772;-0.9973249731081556;0.9158642882672864;-0.4014879892059749;0.782980103677063;0.6220467484408673;-0.1839983516576815;0.982926551979982;-0.9549667548552552;0.2967128192734906
133;1.1447447203491574;246;-154.9307262988413;;1.0;0.4132786077829043;0.9106046300942162;-0.6584015846980488;0.7526668275320085;-0.9574851883550394;-0.2884824328806086;-0.1330147065341963;-0.9911140639934546;0.8475409228928308;-0.5307300481619338;0.8335557718385702;0.5524353131676191;-0.1585593851031337;0.9873494423939866;-0.9646141756912432;0.2636654927280081;-0.638749422051528;-0.7694148268839371;0.4366512319560628;-0.8996308696522439;0.9996666485105112;0.0258184402271315;0.3896304495307892;0.920971287716634;-0.6776147890466878;0.7354170229639866;-0.9497178427914322;-0.3131070409358249;-0.1073813466641665;-0.9942179068939516;0.8609610158889934;-0.5086709438521061;0.81901488666808;0.5737722679043246;-0.183998351657678;0.9829265519799826;-0.9711000518829496;0.238672766005954;-0.6186714032625052;-0.7856498550787129
140;1.2049944424727974;232;-13.37425572495431;;1.0;0.3576982388331254;0.9338372288229252;-0.7441039398713607;0.6680638642135335;-0.8900275764346766;-0.455906693508459;0.107381346664163;-0.994217906893952;0.9668478136052776;-0.2553532951161872;0.5842981736283681;0.8115390590073613;-0.5488429582847194;0.8359254794186368;-0.9769384927771816;-0.2135209154397961;-0.1500553983446528;-0.9886775902323404;0.8695893893466108;-0.4937755501599776;0.7721565844991647;0.635432300890177;-0.3171912885891069;0.9483615800121712;-0.99907411510223;0.0430222330045297;-0.3975428142825554;-0.917583626059394;0.7146733860429599;-0.6994583270516481;0.9088176373395028;0.4171936026123169;-0.0645084494493179;0.997917160865392;-0.9549667548552552;0.2967128192734906;-0.6186714032625025;-0.7856498550787151;0.5123714121284229;-0.8587639582758034
